Pgen,Pgenn,Temperature,Selection,Population,days since spawned,Tank,Compa No,Dish,egg number,hatched eggs,total_alive,Hatch_Pr,Incubation density,Pr_Alive
CG1,6,L,S,LTS2,1,Tank4,4.3,4.3CG1,423,0,423,0,528,0.801136364
CG1,6,L,S,LTS2,2,Tank4,4.3,4.3CG1,392,1,393,0.002364066,528,0.744318182
CG1,6,L,S,LTS2,3,Tank4,4.3,4.3CG1,233,141,374,0.358778626,528,0.708333333
CG1,6,L,S,LTS2,4,Tank4,4.3,4.3CG1,34,339,373,0.906417112,528,0.706439394
CG1,6,L,S,LTS2,5,Tank4,4.3,4.3CG1,3,370,373,0.991957105,528,0.706439394
CG1,6,L,C,LTC3,0,Tank5,5.1,5.1CG1,492,0,492,0,492,1
CG1,6,L,C,LTC3,1,Tank5,5.1,5.1CG1,437,0,437,0,492,0.888211382
CG1,6,L,C,LTC3,2,Tank5,5.1,5.1CG1,409,2,411,0.004576659,492,0.835365854
CG1,6,L,C,LTC3,3,Tank5,5.1,5.1CG1,129,256,385,0.622871046,492,0.782520325
CG1,6,L,C,LTC3,4,Tank5,5.1,5.1CG1,1,384,385,0.997402597,492,0.782520325
CG1,6,L,C,LTC3,5,Tank5,5.1,5.1CG1,1,379,380,0.984415584,492,0.772357724
CG1,6,L,S,LTS3,0,Tank5,5.2,5.2CG1,496,0,496,0,496,1
CG1,6,L,S,LTS3,1,Tank5,5.2,5.2CG1,162,0,162,0,496,0.326612903
CG1,6,L,S,LTS3,2,Tank5,5.2,5.2CG1,107,0,107,0,496,0.215725806
CG1,6,L,S,LTS3,3,Tank5,5.2,5.2CG1,107,0,107,0,496,0.215725806
CG1,6,L,S,LTS3,4,Tank5,5.2,5.2CG1,60,35,95,0.327102804,496,0.191532258
CG1,6,L,S,LTS3,5,Tank5,5.2,5.2CG1,5,84,89,0.884210526,496,0.179435484
CG1,6,L,G,LTG3,0,Tank5,5.3,5.3CG1,755,0,755,0,755,1
CG1,6,L,G,LTG3,1,Tank5,5.3,5.3CG1,358,0,358,0,755,0.474172185
CG1,6,L,G,LTG3,2,Tank5,5.3,5.3CG1,193,0,193,0,755,0.255629139
CG1,6,L,G,LTG3,3,Tank5,5.3,5.3CG1,185,3,188,0.015544041,755,0.249006623
CG1,6,L,G,LTG3,4,Tank5,5.3,5.3CG1,45,125,170,0.664893617,755,0.225165563
CG1,6,L,G,LTG3,5,Tank5,5.3,5.3CG1,2,162,164,0.952941176,755,0.217218543
CG1,6,H,C,HTC4,0,Tank1,1.1,1.1CG1,408,0,408,0,408,1
